id,original_post_id,undergrad_gpa,undergrad_gpa_out_of,grad_gpa,grad_gpa_out_of,gre_quant,gre_verbal,gre_writing,undergrad_institution,grad_institution,undergrad_major,grad_major,math_courses,phd_course_taken,research_experience,publications,work_experience_years,letters_of_rec,schools_applied,schools_accepted,schools_rejected,schools_waitlisted,funding_status,extracted_at
3833,29866,2.8,4.0,,,,,,,,,,[],False,,,1.0,,[],[],[],[],,2025-12-10 18:44:53.767044
3834,29873,2.57,4.0,3.63,4.0,,,,,,Economics/Law & Society,Economics,"['Calculus I', 'Calculus II', 'Calculus III', 'Calculus IV', 'Strategies of Proof', 'Advanced Calculus', 'Linear Algebra']",False,True,1.0,2.0,"Graduate Thesis Advisor, Two Econ Professors, Economist (Director) at an Economic Think Tank",[],[],[],[],,2025-12-10 18:44:53.767044
3835,29915,3.84,4.0,3.82,4.0,,,,top 3 liberal arts college,,economics,MAcc,"['Linear algebra', 'Differential Equations', 'Calculus 3', 'Econometrics', 'Statistics']",True,False,,0.0,weak,"['Michigan State University', 'Temple University', 'University of Pittsburgh', 'University of Pennsylvania', 'University of Washington', 'Duke University', 'University of Southern California', 'Texas A&M University', 'University of Texas at Dallas', 'University of Wisconsin', 'New York University', 'University of Arizona', 'Harvard University', 'Columbia University', 'Drexel University', 'University of California, Berkeley', 'University of Michigan', 'University of Toronto', 'Ohio State University', 'University of British Columbia', 'University of California, Irvine', 'Georgetown University', 'University of Chicago']",[],[],[],,2025-12-10 18:44:53.767044
3836,29886,4.4,5.0,4.0,4.0,169.0,162.0,,MIT,NYU,Economics,Economics,"['Calculus I', 'Calculus II', 'Calculus III', 'Linear Algebra', 'Differential Equations', 'Probability & Random Variables', 'Advanced Mathematical Economics']",False,True,,4.0,"Two from gov't economists, one from NYU professor",[],[],[],[],,2025-12-10 18:46:07.154797
3837,29891,3.89,4.0,,,166.0,154.0,,UMass Amherst,,Math,,"['Calculus 1', 'Calculus 2', 'Calculus 3', 'Advanced Calculus', 'Linear Algebra', 'Advanced Linear Algebra', 'Statistics 1', 'Statistics 2', 'Differential Equations', 'Nonlinear Dynamics', 'Discrete Math', 'Graph Theory']",False,False,,3.0,"Professors from Math class, Honors seminar class, PhD Candidate who lectured upper level Econ class",[],[],[],[],,2025-12-10 18:46:07.154797
3838,29892,,,,,,,,,,math,,[],False,False,,,,[],[],[],[],,2025-12-10 18:46:07.154797
3839,29902,,,,,167.0,154.0,4.5,,,,,[],False,,,,,"['top 20', '25-50']",[],[],[],,2025-12-10 18:46:07.154797
3840,29904,,,,,167.0,154.0,4.5,,,Math,,[],False,,,,,"['top 25-50', 'top 20']",[],[],[],,2025-12-10 18:46:07.154797
3841,29906,4.0,4.0,,,170.0,,,University of Massachusetts Amherst,,Economics,,[],False,,,,,[],['two top 40 programs'],[],[],,2025-12-10 18:46:07.154797
3842,29907,4.4,5.0,4.0,4.0,169.0,162.0,,MIT,NYU,Economics,Economics,"['Calculus I', 'Calculus II', 'Linear Algebra', 'Differential Equations', 'Probability & Random Variables', 'Advanced Mathematical Economics']",False,True,,4.0,"Two from government economists, one from NYU professor",[],[],[],[],,2025-12-10 18:46:07.154797
3843,29931,,,,,,,,,,,,[],False,,,,,[],[],[],[],,2025-12-10 18:46:07.154797
3844,29916,3.84,4.0,3.82,4.0,,,,top 3 liberal arts college,,econ,MAcc,"['Linear algebra', 'Differential Equations', 'Calculus 3', 'Econometrics', 'Statistics']",True,False,,0.0,weak,"['MSU', 'Temple', 'Pittsburgh', 'UPenn', 'UWashington', 'Duke', 'USC', 'Texas A&M', 'UTD', 'UWisconsin', 'NYU', 'UArizona', 'Harvard', 'Columbia', 'Drexel', 'UC Berkeley', 'UMich', 'UToronto', 'OSU', 'UBC', 'UC Irvine', 'Georgetown', 'UChicago']",[],[],[],,2025-12-10 18:46:07.154797
3845,32493,,,,,,,,,,,,[],False,,,,,[],[],[],[],,2025-12-10 18:46:07.154797
3846,29922,,,,,,,,,,,,['Linear Algebra'],False,,,2.0,,[],[],[],[],,2025-12-10 18:46:07.154797
3847,29928,3.78,4.0,,,,,,University of Failureville - Loser City Satellite Campus,,Economics and Math,,"['Calculus Series', 'Linear Algebra', 'Differential Equations', 'Real Analysis']",False,,,,I've got them and they're solid.,[],[],[],[],full-funding and some sort of stipend,2025-12-10 18:46:07.154797
3848,29936,,,,,,,,,,,,[],False,,,,,[],[],[],[],,2025-12-10 18:46:07.154797
3849,29939,3.24,4.0,3.79,4.0,,,,Top 50 public flagship,Urban Commuter School,Econ & Accounting,Accounting,"['Calculus 1', 'Calculus 2', 'Calculus 3', 'Calculus 4', 'Discrete', 'Intro to differential', 'Group Theory', 'Number Theory', 'Game Theory 1', 'Game Theory 2', 'Intro Linear Algebra', 'Advanced Calculus 1', 'Advanced Calculus 2', 'Real Analysis 1', 'Real Analysis 2', 'Real Analysis 3', 'Set Theory and Topology 1', 'Set Theory and Topology 2', 'Set Theory and Topology 3', 'Advanced Linear Algebra 1', 'Advanced Linear Algebra 2', 'Abstract Algebra 1', 'Abstract Algebra 2', 'Abstract Algebra 3', 'Functional Analysis 1', 'PDE 1', 'PDE 2', 'Stochastic Processes and Probability Theory 1', 'Stochastic Processes and Probability Theory 2', 'Stochastic Processes and Probability Theory 3', 'Convex Optimization']",False,True,,,,[],[],[],[],,2025-12-10 18:46:07.154797
3850,29961,,,,,,,,,,,,[],False,,,,,[],[],[],[],,2025-12-10 18:46:07.154797
3851,29964,,,,,168.0,164.0,4.0,good home-country Uni,top 50,Engineering,Statistics,[],True,True,,,,"['Oxford', 'Cambridge', 'LSE', 'UCL', 'Warwick']",[],[],[],,2025-12-10 18:46:07.154797
3852,29968,,,,,,,,,,,,[],False,,,,,[],[],[],[],,2025-12-10 18:46:07.154797
3853,30467,,,,,,,,,,,,[],False,,,,,[],[],[],[],,2025-12-10 18:46:07.154797
3854,29970,3.22,4.0,,,160.0,,,Top 25 US University,,Economics,,"['Calculus I', 'Calculus II', 'Calculus III', 'Linear Algebra', 'Statistics', 'Probability Theory']",False,True,1.0,1.0,"Thesis adviser and Econometrics professor (very strong- UIUC), Lecturer for Intermediate Macro (very strong- CUNY), Chief Economist at work (strong- UPenn)","['Michigan State University', 'University of Connecticut', 'University of Illinois Urbana-Champaign', 'University of Wisconsin', 'University of California Davis', 'Penn State University']",[],[],[],,2025-12-10 18:46:07.154797
3855,29972,4.0,4.0,,,164.0,163.0,,global top 50 university based in Australia,London School of Economics,Finance and Econometrics,Finance and Economics,[],False,True,0.0,,,[],[],[],[],,2025-12-10 18:46:07.154797
3856,29974,,,,,,,,University of Melbourne,London School of Economics,,,[],False,,,,good LoRs from LSE professors,[],[],[],[],,2025-12-10 18:46:07.154797
3857,29999,,,,,,,,,,,,[],False,,,3.0,,[],[],[],[],,2025-12-10 18:46:07.154797
3858,30005,,,,,,,,,University College London,,,[],False,,,,,[],[],[],[],,2025-12-10 18:46:07.154797
3859,30105,,,,,,,,,,,,"['advanced probability theory', 'stochastic process']",True,,,,,[],[],[],[],,2025-12-10 18:46:07.154797
3860,132767,,,,,,,,,Harvard,,,[],False,,,,,['Harvard'],[],['Harvard'],[],NA,2025-12-10 18:46:07.154797
3861,30007,,,,,,,,,University College London,,,[],False,,,,,[],[],[],[],,2025-12-10 18:46:07.154797
3862,30016,3.78,4.0,3.9,4.0,164.0,160.0,,Top 50 National University,Top 50 National University,Economics,Mathematics,"['Calculus 1', 'Calculus 2', 'Calculus 3', 'Linear Algebra', 'Real Analysis', 'Measure Theory', 'Probability', 'Statistical Inference', 'Algebra 1', 'Algebra 2', 'Intro to Proofs', 'Time Series Analysis']",False,True,0.0,2.0,Professors/Colleagues from 1) 1–2 Economist at Federal Reserve Board 2) Undergraduate Capstone advisor 3) (Grad) Math Thesis advisor,[],[],[],[],,2025-12-10 18:46:07.154797
3863,30031,,,,,,,,,,Economics and Business Administration,,[],False,,,0.0,,"['Schulich MBAN', 'University of British Columbia MBAN', 'Ivey MSc in Data Analytics', ""Queen's Master of Management Analytics"", 'Sprott School of Business MBA', 'DeGroote Master of Finance']",[],[],[],,2025-12-10 18:46:07.154797
3864,30033,,,,,,,,,,,,[],False,,,,,"['MIT', 'Vanderbilt', 'Princeton', 'LSE', 'Bocconi', 'Toulouse', 'Tilburg', 'BYU']","['Bocconi', 'Toulouse', 'Tilburg', 'BYU']",[],[],full ride,2025-12-10 18:46:07.154797
3865,30034,,,,,,,,,,,,[],False,,,,,[],[],[],[],,2025-12-10 18:46:07.154797
3866,30057,3.23,4.0,,,161.0,167.0,,Top 3 liberal arts college USNW,,Economics,,"['Calculus I', 'Calculus II', 'Discrete Math', 'Linear Algebra', 'Statistics I', 'Statistics II', 'Multi-Variable Calculus', 'Real Analysis']",False,True,1.0,3.0,,"['Temple University', 'Indiana University - SPEA', 'UNC Chapel-Hill']",[],[],[],must have funding,2025-12-10 18:46:07.154797
3867,30112,,,,,,,,,,,,[],False,,,,,[],[],[],[],,2025-12-10 18:46:07.154797
3868,30563,,,,,154.0,158.0,4.5,,,,,[],False,,,,,['Florida school'],[],[],[],,2025-12-10 18:46:07.154797
3869,30047,3.4,4.0,4.0,4.0,,,,Top 20 UK,Top 5 UK,Economics,Economics,"['calculus', 'algebra', 'applied mathematics', 'statistics', 'probability', 'real analysis']",True,True,,1.0,"Former Harvard PhD Econ (supervisor), former Oxford PhD econ (school director), economist I RA'ed for",[],[],[],[],,2025-12-10 18:46:07.154797
3870,30050,,,,,,,,,,,,[],False,,,,,[],[],[],[],,2025-12-10 18:46:07.154797
3871,30052,3.4,4.0,4.0,4.0,,,,Top 20 UK,Top 5 UK,Economics,Economics,"['calculus', 'algebra', 'applied mathematics', 'statistics', 'probability', 'real analysis']",True,True,,1.0,"Former Harvard PhD Econ (supervisor), former Oxford PhD econ (school director), economist I RA'ed for",[],[],[],[],,2025-12-10 18:46:07.154797
3872,30055,,,,,,,,Northwest State School,Northwest State School,Finance,Law,"['Single Variable Calculus', 'Differential Equations', 'Mathematical Reasoning', 'Linear Algebra', 'Multivariate Calculus', 'Real Analysis', 'Statistics/Probability']",False,,,1.0,,[],[],[],[],,2025-12-10 18:46:07.154797
3873,30072,3.0,4.0,3.7,4.0,,,,top 10 university in the UK,top 10 university in the UK,,Econometrics & Economics,[],False,True,,,,['LSE'],[],[],[],,2025-12-10 18:46:07.154797
3874,30258,,,,,,,,,,,,[],False,,,,,[],[],[],[],,2025-12-10 18:46:07.154797
3875,30073,9.47,10.0,91.0,100.0,169.0,170.0,5.5,Top Indian school,Tsinghua University,Structural Engineering,Economics and Finance,"['Calculus I', 'Calculus II', 'Differential Equations', 'Linear Algebra', 'Business Mathematics']",False,True,,2.0,"1 Econ Prof (Thesis advisor, TA'ed for) | Two Econ Prof (took courses, grade A and B)","['NUS', 'HKU', 'CUHK', 'HKUST', 'Insead']",[],[],[],Full Tuition Scholarship,2025-12-10 18:46:07.154797
3876,30075,3.82,4.0,,,,,,top research university in an Eastern European country,,Economics,,"['Calculus I', 'Calculus II', 'Linear Algebra', 'Differential Equations', 'Partial Differential Equations', 'Models and Methods in Linear Optimization I', 'Models and Methods in Linear Optimization II', 'Advanced Calculus', 'Math for Econ', 'Discrete and Combinatorial Mathematics']",False,False,0.0,1.0,"one from a macroeconomist with a PhD from Princeton, one from a professor in applied microeconomics with a PhD from Oxford, one from a professor in institutional economics with a PhD from Maryland, auxiliary letter from a macroeconomist with a PhD from Minnesota","['Harvard KSG', 'Stanford GSB', 'Princeton']",[],[],[],,2025-12-10 18:46:07.154797
3877,30078,3.7,4.0,,,,,,top 30 private US university,,"Math, Economics",,"['Calculus I', 'Calculus II', 'Calculus III', 'Linear Algebra', 'Ordinary Differential Equations', 'Theory of Probability', 'Honors Real Analysis', 'Honors Real Analysis II', 'Mathematical Statistics', 'Honors Fourier Analysis']",False,True,,,One from a well known microeconomics and one from RA. The last I am unsure of.,"['NYU', 'Wisconsin', 'Northwestern', 'Stanford', 'Chicago', 'UC San Diego', 'UCLA', 'U Toronto', 'UBC', 'LSE', 'Oxford', 'UW-Seattle', 'U Rochester', 'USC', 'UC Irvine']",[],[],[],,2025-12-10 18:46:07.154797
3878,30080,,,,,,,,,,,,[],False,,,,,[],[],[],[],,2025-12-10 18:46:07.154797
3879,30082,,,,,,,,,,,,[],,,,,,"['Boston College', 'Michigan State University', 'University of Illinois Urbana-Champaign', 'University of California, Irvine']",[],[],[],,2025-12-10 18:46:07.154797
3880,30084,,,,,,,,,,,,[],False,,,,,"['Boston College', 'Michigan State University', 'University of Illinois Urbana-Champaign', 'University of California, Irvine']",[],[],[],,2025-12-10 18:46:07.154797
3881,38908,,,,,,,,,,,,[],False,,,,,"['MIT', 'Princeton', 'Yale', 'Chicago', 'Northwestern', 'Columbia', 'Minnesota', 'Harvard', 'Stanford', 'Berkeley', 'Penn', 'NYU', 'UCLA', 'Michigan']",[],"['MIT', 'Princeton', 'Yale']",['Minnesota'],,2025-12-10 18:46:07.154797
3882,30086,3.76,4.0,,,,,,Public School in the US Top 30,,Economics and Math,,[],False,,,,,"['Oxford', 'Toronto Doctoral Stream', 'Duke MAPE']","['Wisconsin', 'Tufts', 'UTexas']","['Oxford', 'Toronto Doctoral']",[],tuition waiver and scholarship offers,2025-12-10 18:46:07.154797
3883,30087,3.5,4.0,4.0,4.0,,,,UK Top 15,UK Top 5,Economics,Economics/Econometrics,"['Calculus', 'Linear Algebra', 'Mathematics for Finance & Economics', 'Statistics', 'Further Statistics', 'Stochastic Processes', 'Real Analysis']",True,True,2.0,1.0,"One from research, two from dissertation supervisors (both with Oxford PhD credentials)",[],[],[],[],full scholar promoting excellence in economic and financial research,2025-12-10 18:46:07.154797
3884,30111,3.67,4.0,,,,,,top-25 university in the US,,,,[],False,True,,,decent recommendation letters,[],[],[],[],,2025-12-10 18:46:07.154797
3885,30089,3.2,4.0,3.93,4.0,,,,average international school in asia,average american school,marketing,business research,['Quantitative Analysis'],False,True,,0.0,,"['Georgia State', 'Michigan State', 'Temple', 'HEC France', 'University of Houston', 'UNC', 'Erasmus', 'Arizona State', 'Texas A&M', 'University of Florida', 'Purdue', 'Boston University', 'Baruch', 'Emory']",[],[],[],,2025-12-10 18:46:07.154797
3886,30092,3.96,4.0,,,167.0,163.0,5.0,"University of California, Los Angeles",,Economics and Political Science,,"['Calculus I', 'Calculus II', 'Calculus III', 'Linear Algebra', 'Real Analysis', 'Statistics']",False,True,2.0,1.0,"One letter from the economics professor I am working on a research project, one letter from the professor I graded the final for, and one letter from a political science professor.",[],[],[],[],,2025-12-10 18:46:07.154797
3887,30095,,,,,,,,,,Political Science,,[],False,,,,,"['Harvard Kennedy School', 'Harris School of Public Policy', 'Cornell University', 'University of Texas at Austin']",[],[],[],,2025-12-10 18:46:07.154797
3888,30097,,,,,,,,,,,,[],False,,,,,"['Harvard/HKS PEG', 'HKS Public Policy', 'Stanford GSB Political Economics', 'Harris Public Policy']",[],[],[],fully funded,2025-12-10 18:46:07.154797
3889,30102,,,,,,,,,University of Bonn,,Economics,[],False,,,,,[],['University of Bonn'],[],[],,2025-12-10 18:46:07.154797
3890,30116,,,,,,,,,,,,[],False,,,,,[],[],[],[],,2025-12-10 18:46:07.154797
3891,30203,,,,,,,,,,,,[],False,,,,,"['Harvard', 'Booth', 'Wharton', 'Stern', 'Haas']",[],[],[],,2025-12-10 18:46:07.154797
3892,30211,,,,,,,,,,,,[],False,,,,,[],[],[],[],,2025-12-10 18:46:07.154797
3893,30214,3.7,4.0,3.7,4.0,,,,State School,State School,,,[],False,False,,1.0,Up to 3 letters from Accounting professors,"['Alabama', 'Kentucky', 'Georgia State', 'Louisiana Tech']",[],[],[],,2025-12-10 18:46:07.154797
3894,30218,,,,,,,,,University of Alabama,,,[],False,,,,3 letters from professors who earned their PhD from Alabama,"['University of Alabama', 'Louisiana State University', 'Florida State University', 'University of Mississippi']",[],[],[],,2025-12-10 18:46:07.154797
3895,30220,3.78,4.0,3.34,4.0,,,,Chinese college specialized in economics and business,US public university,accounting,accounting,['statistics'],False,True,,1.0,"ex boss, marketing professor, ex director from accounting program, current director from stats program","['University of Florida', 'UT Dallas', 'UNC Chapel Hill', 'University of Houston', 'University of Pittsburgh']",[],[],[],,2025-12-10 18:46:07.154797
3896,30222,,,,,,,,"PUC - Rio de Janeiro, Brazil","KU Leuven, Belgium",Engineering,Statistics,"['Mathematics', 'Statistics']",False,,,,,"['Oxbridge', 'LSE', 'UCL', 'Warwick']","['UCL', 'LSE']",[],[],,2025-12-10 18:46:07.154797
3897,30224,4.0,4.0,3.85,4.0,,,,top Mexican institution,another Mexican institution,Economics,Economics,[],False,True,2.0,,Two recommendations from academics with PhDs from top US programs,[],[],[],[],,2025-12-10 18:46:07.154797
3898,38911,,,,,,,,,University of Arizona,,,[],False,,,,,['University of Arizona'],[],['University of Arizona'],[],N/A,2025-12-10 18:46:07.154797
3899,30232,,,,,,,,,,,,[],False,True,,,,[],[],[],[],,2025-12-10 18:46:07.154797
3900,30233,3.23,4.0,3.6,4.0,154.0,162.0,4.5,Top 5 college for Arts & Science in India,University in the Russell Group,Sociology,Work and Organisational Psychology,[],False,True,3.0,2.0,,"['INSEAD', 'University of California - Berkeley (Haas)', 'Indiana University - Bloomington (Kelley)', 'University of Colorado - Boulder (Leeds)', 'University of Minnesota -TC (Carlson)', 'University of Iowa (Tippie)', 'Syracuse University (Whitman)', 'Northwestern University (Kellogg)']",[],"['INSEAD', 'University of California - Berkeley (Haas)', 'Indiana University - Bloomington (Kelley)', 'University of Colorado - Boulder (Leeds)', 'University of Minnesota -TC (Carlson)', 'University of Iowa (Tippie)', 'Syracuse University (Whitman)', 'Northwestern University (Kellogg)']",[],,2025-12-10 18:46:07.154797
3901,30242,,,,,,,,,,,,"['Calculus', 'Calculus', 'Linear Algebra', 'Math for Econ', 'Statistics', 'Statistics']",False,,,,,[],[],[],[],,2025-12-10 18:46:07.154797
3902,30234,,,,,,,,,,,,[],False,,,,,"['Insead', 'Berkeley', 'Minnesota']",[],[],[],,2025-12-10 18:46:07.154797
3903,30236,3.0,4.0,,,,,,#1 university in Latin America,,,,[],False,,,,,[],[],[],[],,2025-12-10 18:46:07.154797
3904,30238,,,,,,,,"PUC - Rio de Janeiro, Brazil","KU Leuven, Belgium",Engineering,Statistics,"['Mathematics', 'Statistics']",False,,,,,"['Oxbridge', 'LSE', 'UCL', 'Warwick']","['UCL', 'LSE']",[],[],,2025-12-10 18:46:07.154797
3905,30243,4.06,4.3,,,,,,Mid-level Canadian research university,,Economics,,"['Calculus I', 'Calculus II', 'Statistics I', 'Statistics II', 'Linear Algebra', 'Multivariate Calculus for Economics']",False,True,0.0,1.0,"3 letters, including strong commitment from a well-known professor","['University of Toronto', 'University of British Columbia', ""Queen's University"", 'McGill University', 'London School of Economics', 'University College London', 'Boston University', 'Duke University']",[],[],[],,2025-12-10 18:46:07.154797
3906,30248,,,,,,,,,,,,[],False,,,,,"['Upenn', 'Columbia', 'LSE']",[],[],[],,2025-12-10 18:46:07.154797
3907,30254,,,,,168.0,,,,,Finance,,[],False,False,,,,['Chicago'],[],[],[],,2025-12-10 18:46:07.154797
3908,30257,,,,,170.0,,,,,,,[],False,,,,,"['University of Chicago', 'New York University']",[],[],[],,2025-12-10 18:46:07.154797
3909,30259,,,,,,,,,,,,[],False,,,,,"['London School of Economics', 'University of London']",[],[],[],,2025-12-10 18:46:07.154797
3910,30260,,,,,,,,,,,,[],False,,,,,"['Berkeley', 'Oxford', 'HEC', 'University of Virginia', 'LSE']",[],[],[],,2025-12-10 18:46:07.154797
3911,30262,,,,,,,,,,,,[],False,,,,,"['Berkeley', 'Oxford', 'HEC', 'University of Virginia']",[],[],[],,2025-12-10 18:46:07.154797
3912,30266,,,,,170.0,,,,,,,[],False,True,,,strong recommendations,"['University of Chicago', 'LSE', 'LBS', 'Oxford', 'Judge', 'Tilburg', 'INSEAD', 'SSE']",[],[],[],,2025-12-10 18:46:07.154797
3913,30267,,,,,,,,,,,,[],False,,,,,[],[],[],[],,2025-12-10 18:46:07.154797
3914,30591,,,,,,,,,,,,[],False,,,,,[],[],[],[],,2025-12-10 18:46:07.154797
3915,30272,,,,,,,,global top 50 university,London School of Economics,"finance, economics and econometrics",Finance and Economics,"['linear algebra', 'multivariable calculus']",False,True,1.0,,,[],[],[],[],,2025-12-10 18:46:07.154797
3916,30282,,,,,,,,,,,,[],False,,,,,[],[],[],[],,2025-12-10 18:46:07.154797
3917,30284,,,,,,,,,,,,[],False,,,,,[],[],[],[],,2025-12-10 18:46:07.154797
3918,30285,,,,,,,,,,,,[],False,,,,,"['Stanford', 'Duke']",[],[],[],,2025-12-10 18:46:07.154797
3919,30288,,,,,,,,,,,,[],False,,,,,[],[],[],[],,2025-12-10 18:46:07.154797
3920,30372,,,,,,,,,,,,[],False,,,,,[],[],[],[],,2025-12-10 18:46:07.154797
3921,30293,,,,,,,,,,,,[],False,,,,,[],['University of North Texas'],[],[],invited for campus visit with funding,2025-12-10 18:46:07.154797
3922,30294,,,,,,,,,,,,[],,,,,,[],['University of North Texas'],[],[],invited for campus visit with funding,2025-12-10 18:46:07.154797
3923,30303,,,,,,,,,,,,[],False,True,,,,[],[],[],[],,2025-12-10 18:46:07.154797
3924,30331,,,,,,,,,,,,[],False,,,,,['University of South Carolina'],[],[],[],,2025-12-10 18:46:07.154797
3925,30347,,,,,,,,,,,,[],False,,,,,[],[],[],[],,2025-12-10 18:46:07.154797
3926,30348,,,,,,,,,,,,[],False,,,,,[],[],[],[],,2025-12-10 18:46:07.154797
3927,30349,,,,,,,,,,,,[],False,,,,,[],[],[],[],,2025-12-10 18:46:07.154797
3928,30994,,,,,,,,,,,,[],False,,,,,[],[],[],[],,2025-12-10 18:46:07.154797
3929,30350,,,,,,,,,,,,[],False,,,,,[],[],[],[],,2025-12-10 18:46:07.154797
3930,30351,4.0,4.0,4.0,4.0,,,,,,,,['college algebra'],False,,,,,['Texas A&M'],[],[],[],,2025-12-10 18:46:07.154797
3931,30353,,,,,,,,,,,,[],False,,,,,[],[],[],[],,2025-12-10 18:46:07.154797
3932,30357,,,,,,,,,,,,[],False,,,,,[],[],[],[],,2025-12-10 18:46:07.154797
3933,30360,,,,,,,,,,,,[],False,,,,,[],[],[],[],,2025-12-10 18:46:07.154797
3934,38912,,,,,,,,,Purdue University,,,[],False,,,,,[],['Purdue University'],[],[],$16.5k TA plus $3.3k summer funding,2025-12-10 18:46:07.154797
3935,30374,,,,,,,,,,,,[],False,,,,,[],[],[],[],,2025-12-10 18:46:07.154797
3936,30381,,,,,,,,,,,,[],False,,,,,[],[],[],[],,2025-12-10 18:47:15.250733
3937,30383,,,,,,,,,,,,[],False,,,,,[],[],[],[],,2025-12-10 18:47:15.250733
3938,30420,3.7,4.0,,,,,,liberal arts school,,econ/marketing,,[],False,False,,,,"['T-25', 'Kellogg']",[],[],[],,2025-12-10 18:47:15.250733
3939,30436,,,,,,,,,,,,[],False,,,,,"['Harvard', 'Wharton', 'Booth', 'NYU', 'Kellogg', 'Ross', 'R.Smith', 'Kenan-Flagler', 'UCLA', 'Marshall', 'Carlson', 'Smeal']",[],[],[],,2025-12-10 18:47:15.250733
3940,30441,,,,,,,,,,,Operations,[],False,,,,,"['Harvard', 'Wharton', 'Booth', 'NYU', 'Kellogg', 'Ross', 'R.Smith', 'Kenan-Flagler', 'UCLA', 'Marshall', 'Carlson', 'Smeal']",[],[],[],,2025-12-10 18:47:15.250733
3941,30466,,,,,,,,,,,,[],,,,,,[],[],[],[],,2025-12-10 18:47:15.250733
3942,38915,,,,,,,,,University of Arizona,,,[],False,,,,,['University of Arizona'],[],['University of Arizona'],[],N/A,2025-12-10 18:47:15.250733
3943,30483,,,,,,,,,,,,[],False,,,,,[],[],[],[],,2025-12-10 18:47:15.250733
3944,30501,,,,,,,,,,,,[],,,,,,[],[],[],[],,2025-12-10 18:47:15.250733
3945,30504,,,,,,,,,,,,[],,,,,,[],[],[],[],,2025-12-10 18:47:15.250733
3946,30520,,,,,,,,,,,,[],,,,,,[],[],[],[],,2025-12-10 18:47:15.250733
3947,30523,,,,,,,,,,,,[],,,,,,[],[],[],[],,2025-12-10 18:47:15.250733
3948,30540,,,,,,,,,,,,[],,,,,"3 letters submitted, 1 missing",[],[],[],[],,2025-12-10 18:47:15.250733
3949,30541,,,,,,,,,,,,[],False,,,,3 letters (1 missing),[],[],[],[],,2025-12-10 18:47:15.250733
3950,38916,,,,,,,,,Bocconi University,,Economics and Finance,[],False,,,,,[],['Bocconi University'],[],[],4-year fellowship,2025-12-10 18:47:15.250733
3951,30604,,,,,,,,,,,,[],False,,,,,[],[],[],[],,2025-12-10 18:47:15.250733
3952,30616,,,,,,,,,,,,[],,,,,,[],[],[],[],,2025-12-10 18:47:15.250733
3953,30657,,,,,,,,,,,,[],False,,,,,['University of Maryland'],[],[],[],,2025-12-10 18:47:15.250733
3954,30685,,,,,,,,,,,,[],False,,,,,[],[],[],[],,2025-12-10 18:47:15.250733
3955,30698,,,,,,,,,,,,[],,,,,,[],[],[],[],,2025-12-10 18:47:15.250733
3956,30689,,,,,,,,,,,,[],False,,,,,[],[],[],[],,2025-12-10 18:47:15.250733
3957,30703,,,,,,,,,,,,[],,,,,,"['Wharton', 'Harvard']",[],[],[],,2025-12-10 18:47:15.250733
3958,30708,,,,,,,,,,,,[],False,,,,,[],['University in Texas'],[],[],without funding,2025-12-10 18:47:15.250733
3959,30720,,,,,,,,,,,,[],,,,,,[],[],[],['Top 3 European School'],,2025-12-10 18:47:15.250733
3960,30740,,,,,,,,,,,,[],False,,,9.0,corporate reference,"['top 5 European schools', 'three top Canadian schools', 'one Australian school', 'two schools in London']",[],[],[],,2025-12-10 18:47:15.250733
3961,30743,,,,,,,,,,,,[],False,,,10.0,strong relationships with professors,[],[],[],[],,2025-12-10 18:47:15.250733
3962,30755,,,,,,,,,,,,[],,,,,,['NYU'],[],[],[],,2025-12-10 18:47:15.250733
3963,30779,,,,,,,,,,,,[],False,,,,,['Northwestern University'],[],[],[],,2025-12-10 18:47:15.250733
3964,30829,,,,,170.0,,,,,,,[],False,,,,,[],[],[],[],,2025-12-10 18:47:15.250733
3965,30831,3.5,4.0,,,170.0,,,,,,,[],False,,,,,[],[],[],['Wharton'],,2025-12-10 18:47:15.250733
3966,30834,,,,,165.0,,,,,,,[],,,,,,[],[],[],[],,2025-12-10 18:47:15.250733
3967,30838,,,,,,,,,,,,[],False,,,,,[],[],[],[],,2025-12-10 18:47:15.250733
3968,30866,,,,,,,,,,,,[],,,,,,[],[],[],[],,2025-12-10 18:47:15.250733
3969,30873,,,,,,,,,,,,[],False,,,,,"['Chicago', 'Wharton']",[],['Chicago'],[],,2025-12-10 18:47:15.250733
3970,30888,,,,,,,,,UCLA,,,[],False,,,,,['UCLA'],[],[],[],,2025-12-10 18:47:15.250733
3971,37681,,,,,,,,,,,,[],,,,,,[],[],[],['UChicago'],,2025-12-10 18:47:15.250733
3972,30925,,,,,,,,,,,,[],False,,,,,['UNC'],[],[],[],,2025-12-10 18:47:15.250733
3973,30929,,,,,,,,,,,,[],False,,,,,['University of Oklahoma'],[],['University of Oklahoma'],[],,2025-12-10 18:47:15.250733
3974,30957,,,,,,,,,,,,[],False,,,,,"['Chicago', 'CMU', 'Duke', 'Stanford']",[],[],[],,2025-12-10 18:47:15.250733
3975,38918,,,,,,,,,American University,,,[],False,,,,,['American University'],[],['American University'],[],NA,2025-12-10 18:47:15.250733
3976,31007,,,,,,,,,,,,[],False,,,,,"['Harvard', 'LBS', 'Wharton', 'Ross', 'Booth']",[],[],[],,2025-12-10 18:47:15.250733
3977,31018,,,,,,,,,,,,[],,,,,,[],[],[],[],,2025-12-10 18:47:15.250733
